GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForexPay,com.squad.forexpay.dto,TransactionDetailsDto,18,34,0,0,6,3,6,9,6,9
ForexPay,com.squad.forexpay.dto,ExchangeResponseDto,9,15,0,0,3,2,3,4,3,4
ForexPay,com.squad.forexpay.dto,ResponseDto,6,11,0,0,2,2,2,3,2,3
ForexPay,com.squad.forexpay.dto,LoginRequestDto,0,17,0,0,0,4,0,5,0,5
ForexPay,com.squad.forexpay.dto,ErrorDto,17,0,0,0,4,0,5,0,5,0
ForexPay,com.squad.forexpay.dto,LoginResponseDto,3,14,0,0,1,3,1,4,1,4
ForexPay,com.squad.forexpay.dto,TransactionRequestDto,3,21,0,0,1,4,1,6,1,6
ForexPay,com.squad.forexpay.dto,RestExchangeDto,0,10,0,0,0,3,0,3,0,3
ForexPay,com.squad.forexpay.dto,AccountSummaryResponseDto,268,30,54,0,5,2,36,8,9,8
ForexPay,com.squad.forexpay.exception,MinimumBalanceException,4,0,0,0,2,0,1,0,1,0
ForexPay,com.squad.forexpay.exception,CurrencyNotFoundException,0,4,0,0,0,2,0,1,0,1
ForexPay,com.squad.forexpay.exception,GlobalExceptionHandler,126,0,0,0,28,0,7,0,7,0
ForexPay,com.squad.forexpay.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
ForexPay,com.squad.forexpay.exception,AccountnotFoundException,0,4,0,0,0,2,0,1,0,1
ForexPay,com.squad.forexpay.exception,TransactionNotFoundException,4,0,0,0,2,0,1,0,1,0
ForexPay,com.squad.forexpay.constant,Constant,0,8,0,0,0,2,0,1,0,1
ForexPay,com.squad.forexpay.service,UserServiceImpl,8,39,1,1,2,10,1,3,0,3
ForexPay,com.squad.forexpay.service,CurrencyServiceImpl,0,119,0,4,0,22,0,6,0,4
ForexPay,com.squad.forexpay.service,AccountServiceImpl,220,203,9,13,48,49,6,12,1,6
ForexPay,com.squad.forexpay.controller,UserController,0,27,0,0,0,7,0,3,0,3
ForexPay,com.squad.forexpay.controller,CurrencyController,0,30,0,0,0,6,0,4,0,4
ForexPay,com.squad.forexpay.controller,AccountController,0,52,0,2,0,11,0,6,0,5
ForexPay,com.squad.forexpay.config,SwaggerConfig,15,0,0,0,4,0,2,0,2,0
ForexPay,com.squad.forexpay.entity,Transaction,367,60,78,0,2,9,45,17,6,17
ForexPay,com.squad.forexpay.entity,Currency,3,14,0,0,1,3,1,4,1,4
ForexPay,com.squad.forexpay.entity,UserAccount,10,14,0,0,2,3,3,4,3,4
ForexPay,com.squad.forexpay.entity,Account,0,38,0,0,0,7,0,11,0,11
ForexPay,com.squad.forexpay.entity,User,24,21,0,0,4,4,7,6,7,6
ForexPay,com.squad.forexpay,ForexPayApplication,8,0,0,0,3,0,2,0,2,0
